,ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:1904044,BP,GO:1904044,response to aldosterone,4/269,19/18888,0.210526316,14.7822344,7.224394348,0.000131745,0.000534966,0.000224334,PARP1/IGF1R/AIFM1/CDKN1A,4
GO:0042246,BP,GO:0042246,tissue regeneration,7/269,79/18888,0.088607595,6.221636629,5.590064164,0.000132941,0.000538862,0.000225968,GPX1/NOTCH1/EZH2/IGF1/CD9/SOX2/CDKN1A,7
GO:0045685,BP,GO:0045685,regulation of glial cell differentiation,7/269,79/18888,0.088607595,6.221636629,5.590064164,0.000132941,0.000538862,0.000225968,CTNNB1/IL6/NOTCH1/MTOR/RELA/TGFB1/ID4,7
GO:0002697,BP,GO:0002697,regulation of immune effector process,16/269,385/18888,0.041558442,2.918051465,4.570345166,0.000137512,0.000556818,0.000233498,KLK3/IL6/MAP3K7/IL1B/TLR4/TNF/TGFB1/IL10/A2M/BRD2/BRD4/TWIST1/GATA3/MLH1/MSH2/MYD88,16
GO:0062207,BP,GO:0062207,regulation of pattern recognition receptor signaling pathway,10/269,166/18888,0.060240964,4.229856228,5.023895168,0.000137616,0.000556818,0.000233498,PARP1/TLR4/SQSTM1/AKT1/CAV1/MIR200C/DAB2IP/LGR4/ESR1/MYD88,10
GO:0034205,BP,GO:0034205,amyloid-beta formation,6/269,56/18888,0.107142857,7.523101434,5.875967388,0.000141058,0.000570241,0.000239127,CASP3/TNF/RELA/IGF1/ROCK1/CLU,6
GO:1903556,BP,GO:1903556,negative regulation of tumor necrosis factor superfamily cytokine production,7/269,80/18888,0.0875,6.143866171,5.541697308,0.000143941,0.00058138,0.000243798,GSTP1/TLR4/IL10/IGF1/TWIST1/MC1R/CD274,7
GO:0061572,BP,GO:0061572,actin filament bundle organization,10/269,167/18888,0.05988024,4.204527747,4.999622393,0.000144577,0.000583429,0.000244657,MTOR/RHOA/TGFBR1/SMAD3/FSCN1/CUL3/DLC1/BRAF/PAWR/ROCK1,10
GO:0000086,BP,GO:0000086,G2/M transition of mitotic cell cycle,9/269,136/18888,0.066176471,4.646621474,5.129981469,0.000146176,0.000588841,0.000246926,BRCA1/AURKA/CCND1/CDK4/CDK2/CHEK2/BRD4/NBN/CDKN1A,9
GO:0030168,BP,GO:0030168,platelet activation,9/269,136/18888,0.066176471,4.646621474,5.129981469,0.000146176,0.000588841,0.000246926,ALOX12/IL6/PIK3CA/MAPK14/TLR4/PRKCD/ILK/CD9/THBD,9
GO:0002068,BP,GO:0002068,glandular epithelial cell development,5/269,36/18888,0.138888889,9.752168525,6.317825997,0.000148285,0.00059523,0.000249605,FASN/HIF1A/AKT1/SPDEF/CLOCK,5
GO:0032205,BP,GO:0032205,negative regulation of telomere maintenance,5/269,36/18888,0.138888889,9.752168525,6.317825997,0.000148285,0.00059523,0.000249605,TP53/XRCC1/ERCC1/PARP1/NBN,5
GO:0035137,BP,GO:0035137,hindlimb morphogenesis,5/269,36/18888,0.138888889,9.752168525,6.317825997,0.000148285,0.00059523,0.000249605,CTNNB1/NOTCH1/TWIST1/TP63/MED1,5
GO:0060317,BP,GO:0060317,cardiac epithelial to mesenchymal transition,5/269,36/18888,0.138888889,9.752168525,6.317825997,0.000148285,0.00059523,0.000249605,NOTCH1/TGFBR1/SNAI1/TWIST1/SNAI2,5
GO:0006402,BP,GO:0006402,mRNA catabolic process,15/269,348/18888,0.043103448,3.02653506,4.586362025,0.000149411,0.000599223,0.00025128,YBX1/MAPK14/RNASEL/PRKCD/AKT1/MIR200C/PKP1/PKP3/VIM/MIR145/ZHX2/MLH1/MIR130B/ROCK1/MYD88,15
GO:0003151,BP,GO:0003151,outflow tract morphogenesis,7/269,81/18888,0.086419753,6.068015971,5.494145749,0.000155668,0.000620987,0.000260407,CTNNB1/SOX11/VEGFA/NOTCH1/HIF1A/ILK/TWIST1,7
GO:0050810,BP,GO:0050810,regulation of steroid biosynthetic process,7/269,81/18888,0.086419753,6.068015971,5.494145749,0.000155668,0.000620987,0.000260407,NFKB1/IGF1R/TNF/FGFR4/SNAI1/SNAI2/AKR1C3,7
GO:1904029,BP,GO:1904029,regulation of cyclin-dependent protein kinase activity,7/269,81/18888,0.086419753,6.068015971,5.494145749,0.000155668,0.000620987,0.000260407,PTEN/CCND1/AKT1/EGFR/HHEX/CDKN1A/CDKN2A,7
GO:0031663,BP,GO:0031663,lipopolysaccharide-mediated signaling pathway,6/269,57/18888,0.105263158,7.391117198,5.808406088,0.000155792,0.000620987,0.000260407,MAPK14/TLR4/MAPK1/AKT1/NFKBIA/MYD88,6
GO:0046902,BP,GO:0046902,regulation of mitochondrial membrane permeability,6/269,57/18888,0.105263158,7.391117198,5.808406088,0.000155792,0.000620987,0.000260407,TP53/BID/BAX/BNIP3/PMAIP1/BNIP3L,6
GO:0061900,BP,GO:0061900,glial cell activation,6/269,57/18888,0.105263158,7.391117198,5.808406088,0.000155792,0.000620987,0.000260407,IL6/IL1B/TNF/EGFR/SPHK1/CLU,6
GO:0070542,BP,GO:0070542,response to fatty acid,6/269,57/18888,0.105263158,7.391117198,5.808406088,0.000155792,0.000620987,0.000260407,PTGS2/CDK4/PIK3CA/PCSK1/IRS1/AKR1C3,6
GO:0001776,BP,GO:0001776,leukocyte homeostasis,8/269,108/18888,0.074074074,5.201156547,5.262745915,0.000157162,0.000625355,0.000262238,CXCR2/IL6/CASP3/HIF1A/BAP1/AKT1/BAX/PMAIP1,8
GO:0031398,BP,GO:0031398,positive regulation of protein ubiquitination,8/269,108/18888,0.074074074,5.201156547,5.262745915,0.000157162,0.000625355,0.000262238,PTEN/FBXW7/KDM1A/BMI1/CAV1/CUL3/HSPA5/SPHK1,8
GO:1990845,BP,GO:1990845,adaptive thermogenesis,10/269,169/18888,0.059171598,4.154770023,4.95164145,0.000159393,0.000633676,0.000265728,KDM1A/VEGFA/ID1/IGF1R/NOTCH1/SMARCA4/TLR4/CAV1/RB1/LGR4,10
GO:0051767,BP,GO:0051767,nitric-oxide synthase biosynthetic process,4/269,20/18888,0.2,14.04312268,7.014764529,0.000162845,0.000642914,0.000269601,GSTP1/TLR4/KDR/STAT1,4
GO:0051769,BP,GO:0051769,regulation of nitric-oxide synthase biosynthetic process,4/269,20/18888,0.2,14.04312268,7.014764529,0.000162845,0.000642914,0.000269601,GSTP1/TLR4/KDR/STAT1,4
GO:0072567,BP,GO:0072567,chemokine (C-X-C motif) ligand 2 production,4/269,20/18888,0.2,14.04312268,7.014764529,0.000162845,0.000642914,0.000269601,TLR4/TNF/TGFB1/MYD88,4
GO:0090201,BP,GO:0090201,negative regulation of release of cytochrome c from mitochondria,4/269,20/18888,0.2,14.04312268,7.014764529,0.000162845,0.000642914,0.000269601,GPX1/AKT1/IGF1/CLU,4
GO:1902004,BP,GO:1902004,positive regulation of amyloid-beta formation,4/269,20/18888,0.2,14.04312268,7.014764529,0.000162845,0.000642914,0.000269601,CASP3/TNF/RELA/CLU,4
GO:2000269,BP,GO:2000269,regulation of fibroblast apoptotic process,4/269,20/18888,0.2,14.04312268,7.014764529,0.000162845,0.000642914,0.000269601,TP53/PIK3CA/BID/TP63,4
GO:2000341,BP,GO:2000341,regulation of chemokine (C-X-C motif) ligand 2 production,4/269,20/18888,0.2,14.04312268,7.014764529,0.000162845,0.000642914,0.000269601,TLR4/TNF/TGFB1/MYD88,4
GO:2000679,BP,GO:2000679,positive regulation of transcription regulatory region DNA binding,4/269,20/18888,0.2,14.04312268,7.014764529,0.000162845,0.000642914,0.000269601,RB1/IGF1/TWIST1/GATA3,4
GO:0051047,BP,GO:0051047,positive regulation of secretion,14/269,312/18888,0.044871795,3.150700601,4.604268125,0.000163623,0.000645424,0.000270654,IL1B/PPARG/SOX11/MYB/HIF1A/TLR4/TGFB1/EGFR/PCSK1/IGF1/NKX3-1/FGFR1/UCN/CYP19A1,14
GO:0007389,BP,GO:0007389,pattern specification process,18/269,474/18888,0.037974684,2.666415698,4.416496634,0.000164418,0.000648002,0.000271735,TP53/CTNNB1/AR/AURKA/FGF2/NOTCH1/HIF1A/BMI1/HNF1B/TGFBR1/SMAD3/FOXA1/WT1/HHEX/SNAI1/NKX3-1/TP63/FGFR1,18
GO:0032760,BP,GO:0032760,positive regulation of tumor necrosis factor production,8/269,109/18888,0.073394495,5.153439514,5.227142773,0.000167553,0.000659785,0.000276676,THBS1/IL6/STAT3/TLR4/TGFB1/TWIST1/MYD88/CLU,8
GO:1902903,BP,GO:1902903,regulation of supramolecular fiber organization,16/269,392/18888,0.040816327,2.865943403,4.487268391,0.000168876,0.000663343,0.000278168,GPX1/PIK3CA/TENM1/MTOR/HDAC6/PRKCD/RHOA/KATNB1/TGFBR1/SMAD3/DLC1/GIT1/RB1/BRAF/ROCK1/CLU,16
GO:0008207,BP,GO:0008207,C21-steroid hormone metabolic process,5/269,37/18888,0.135135135,9.488596403,6.212251144,0.000169476,0.000663343,0.000278168,HSD3B1/EDNRB/HSD3B2/AKR1C3/CYP17A1,5
GO:0014741,BP,GO:0014741,negative regulation of muscle hypertrophy,5/269,37/18888,0.135135135,9.488596403,6.212251144,0.000169476,0.000663343,0.000278168,MIR25/PPARG/NOTCH1/SMAD3/MIR145,5
GO:0033280,BP,GO:0033280,response to vitamin D,5/269,37/18888,0.135135135,9.488596403,6.212251144,0.000169476,0.000663343,0.000278168,VDR/PTGS2/SNAI2/PIM1/MED1,5
GO:0046326,BP,GO:0046326,positive regulation of glucose import,5/269,37/18888,0.135135135,9.488596403,6.212251144,0.000169476,0.000663343,0.000278168,MAPK14/RNASEL/AKT1/IRS1/IGF1,5
GO:0048730,BP,GO:0048730,epidermis morphogenesis,5/269,37/18888,0.135135135,9.488596403,6.212251144,0.000169476,0.000663343,0.000278168,CTNNB1/NOTCH1/KLK14/SNAI1/TP63,5
GO:0071276,BP,GO:0071276,cellular response to cadmium ion,5/269,37/18888,0.135135135,9.488596403,6.212251144,0.000169476,0.000663343,0.000278168,MAPK1/FOS/AKT1/MMP9/EGFR,5
GO:0120032,BP,GO:0120032,regulation of plasma membrane bounded cell projection assembly,11/269,204/18888,0.053921569,3.786136016,4.809079128,0.000171657,0.000668669,0.000280401,PIK3CA/TENM1/MTOR/PRKCD/AKT1/TGFBR1/CAV1/FSCN1/HSP90AA1/HRAS/MIEN1,11
GO:0002381,BP,GO:0002381,immunoglobulin production involved in immunoglobulin-mediated immune response,6/269,58/18888,0.103448276,7.263684143,5.742462139,0.000171717,0.000668669,0.000280401,ERCC1/TGFB1/IL10/MLH1/MSH2/NBN,6
GO:0019369,BP,GO:0019369,arachidonic acid metabolic process,6/269,58/18888,0.103448276,7.263684143,5.742462139,0.000171717,0.000668669,0.000280401,ALOX12/GPX1/PTGS2/ALOX15B/CYP1A1/AKR1C3,6
GO:0031638,BP,GO:0031638,zymogen activation,6/269,58/18888,0.103448276,7.263684143,5.742462139,0.000171717,0.000668669,0.000280401,THBS1/CASP8/MMP14/SERPINE1/THBD/PLAU,6
GO:0032786,BP,GO:0032786,"positive regulation of DNA-templated transcription, elongation",6/269,58/18888,0.103448276,7.263684143,5.742462139,0.000171717,0.000668669,0.000280401,CTNNB1/PARP1/ELL2/CDK12/BRD4/MED1,6
GO:0043331,BP,GO:0043331,response to dsRNA,6/269,58/18888,0.103448276,7.263684143,5.742462139,0.000171717,0.000668669,0.000280401,NFKB1/MAPK1/CAV1/PMAIP1/NFKBIA/IFNA1,6
GO:0042116,BP,GO:0042116,macrophage activation,8/269,110/18888,0.072727273,5.106590064,5.191973671,0.000178502,0.000693905,0.000290984,THBS1/IL6/TLR4/TNF/IL10/SPHK1/MIR145/CLU,8
GO:0048477,BP,GO:0048477,oogenesis,8/269,110/18888,0.072727273,5.106590064,5.191973671,0.000178502,0.000693905,0.000290984,CTNNB1/AURKA/BRCA2/ERCC1/AKT1/IGF1/MLH1/ZFX,8
GO:0140014,BP,GO:0140014,mitotic nuclear division,13/269,277/18888,0.046931408,3.295317596,4.625697944,0.000180338,0.000700442,0.000293725,AURKA/IL1B/XRCC3/TNF/RHOA/KATNB1/CHEK2/CUL3/RB1/TGFA/IGF1/SPHK1/IGF2,13
GO:0006289,BP,GO:0006289,nucleotide-excision repair,7/269,83/18888,0.084337349,5.921798719,5.401391795,0.000181441,0.000704128,0.000295271,TP53/BRCA2/ERCC1/ARID1A/SMARCA4/SMARCA2/SMARCE1,7
GO:0009266,BP,GO:0009266,response to temperature stimulus,10/269,172/18888,0.058139535,4.082303104,4.881041532,0.000184004,0.000712859,0.000298932,THBS1/PTGS2/MTOR/HDAC6/AKT1/IGF1/HSP90AA1/CDKN1A/NFKBIA/MAP2K7,10
GO:0009267,BP,GO:0009267,cellular response to starvation,10/269,172/18888,0.058139535,4.082303104,4.881041532,0.000184004,0.000712859,0.000298932,TP53/IGF1R/MTOR/MAPK1/FOS/HSPA5/PMAIP1/AKR1C3/CDKN1A/NPRL2,10
GO:0002274,BP,GO:0002274,myeloid leukocyte activation,12/269,241/18888,0.049792531,3.496213115,4.687757643,0.000184871,0.000715609,0.000300086,THBS1/CXCR2/IL6/TLR4/PRKCD/TNF/IL10/FN1/SPHK1/MIR145/MYD88/CLU,12
GO:0007611,BP,GO:0007611,learning or memory,13/269,278/18888,0.04676259,3.283463935,4.610232441,0.000186823,0.000722255,0.000302873,PTEN/PTGS2/CASP3/HIF1A/MAPK1/FOS/KRAS/EGFR/GIT1/BRAF/GRPR/MME/UCN,13
GO:0060491,BP,GO:0060491,regulation of cell projection assembly,11/269,206/18888,0.053398058,3.749377414,4.769092446,0.000186905,0.000722255,0.000302873,PIK3CA/TENM1/MTOR/PRKCD/AKT1/TGFBR1/CAV1/FSCN1/HSP90AA1/HRAS/MIEN1,11
GO:0031098,BP,GO:0031098,stress-activated protein kinase signaling cascade,6/269,59/18888,0.101694915,7.140570852,5.678067867,0.000188901,0.000728731,0.000305588,MYC/MAP3K7/GSTP1/MAPK14/MAPK1/MAP2K7,6
GO:0043616,BP,GO:0043616,keratinocyte proliferation,6/269,59/18888,0.101694915,7.140570852,5.678067867,0.000188901,0.000728731,0.000305588,VDR/SNAI2/TP63/CDKN1A/MED1/SFN,6
GO:0030038,BP,GO:0030038,contractile actin filament bundle assembly,8/269,111/18888,0.072072072,5.060584748,5.15722904,0.000190033,0.000731244,0.000306642,MTOR/RHOA/TGFBR1/SMAD3/CUL3/DLC1/BRAF/ROCK1,8
GO:0043149,BP,GO:0043149,stress fiber assembly,8/269,111/18888,0.072072072,5.060584748,5.15722904,0.000190033,0.000731244,0.000306642,MTOR/RHOA/TGFBR1/SMAD3/CUL3/DLC1/BRAF/ROCK1,8
GO:0120034,BP,GO:0120034,positive regulation of plasma membrane bounded cell projection assembly,8/269,111/18888,0.072072072,5.060584748,5.15722904,0.000190033,0.000731244,0.000306642,PIK3CA/TENM1/MTOR/TGFBR1/FSCN1/HSP90AA1/HRAS/MIEN1,8
GO:0070828,BP,GO:0070828,heterochromatin organization,9/269,141/18888,0.063829787,4.481847663,4.988073989,0.000192092,0.000738542,0.000309702,BRCA1/MYC/CDKN2B-AS1/KDM1A/CDK2/EZH2/MBD2/RB1/SNAI1,9
GO:0034391,BP,GO:0034391,regulation of smooth muscle cell apoptotic process,5/269,38/18888,0.131578947,9.238896498,6.110610785,0.000192902,0.000741031,0.000310746,PPARG/SOD2/IGF1/CDKN2A/ESR1,5
GO:0002437,BP,GO:0002437,inflammatory response to antigenic stimulus,7/269,84/18888,0.083333333,5.851301115,5.356143545,0.000195563,0.00075062,0.000314767,CXCR2/GPX1/NOTCH1/MAPK14/TNF/IL10/A2M,7
GO:0032928,BP,GO:0032928,regulation of superoxide anion generation,4/269,21/18888,0.19047619,13.37440255,6.819647338,0.000198919,0.000761576,0.000319362,GSTP1/PRKCD/TGFB1/EGFR,4
GO:0032986,BP,GO:0032986,protein-DNA complex disassembly,4/269,21/18888,0.19047619,13.37440255,6.819647338,0.000198919,0.000761576,0.000319362,MYC/ARID1A/SMARCA4/SMARCE1,4
GO:0097049,BP,GO:0097049,motor neuron apoptotic process,4/269,21/18888,0.19047619,13.37440255,6.819647338,0.000198919,0.000761576,0.000319362,RHOA/BAX/MAP2K7/ROCK1,4
GO:0007259,BP,GO:0007259,receptor signaling pathway via JAK-STAT,10/269,174/18888,0.057471264,4.035380079,4.834859359,0.000202127,0.000773209,0.00032424,IL6/NOTCH1/STAT3/TNF/CAV1/IL10/VHL/IGF1/STAT1/IFNA1,10
GO:0043030,BP,GO:0043030,regulation of macrophage activation,6/269,60/18888,0.1,7.021561338,5.615159528,0.000207413,0.000790774,0.000331606,THBS1/IL6/TLR4/IL10/SPHK1/MIR145,6
GO:0046324,BP,GO:0046324,regulation of glucose import,6/269,60/18888,0.1,7.021561338,5.615159528,0.000207413,0.000790774,0.000331606,MAPK14/RNASEL/TNF/AKT1/IRS1/IGF1,6
GO:0060038,BP,GO:0060038,cardiac muscle cell proliferation,6/269,60/18888,0.1,7.021561338,5.615159528,0.000207413,0.000790774,0.000331606,FGF2/NOTCH1/MAPK14/TGFBR1/PIM1/FGFR1,6
GO:0071168,BP,GO:0071168,protein localization to chromatin,6/269,60/18888,0.1,7.021561338,5.615159528,0.000207413,0.000790774,0.000331606,PARP1/EZH2/BRD3/BRD2/MSH2/ESR1,6
GO:0002292,BP,GO:0002292,T cell differentiation involved in immune response,7/269,85/18888,0.082352941,5.782462279,5.311618774,0.000210559,0.000802097,0.000336354,IL6/MYB/STAT3/MTOR/BRD2/BRD4/GATA3,7
GO:0050671,BP,GO:0050671,positive regulation of lymphocyte proliferation,9/269,143/18888,0.062937063,4.419164479,4.933154799,0.000213543,0.000812785,0.000340836,IL6/IL1B/TLR4/BMI1/IGF1/CD274/CDKN1A/IGF2/MYD88,9
GO:0006766,BP,GO:0006766,vitamin metabolic process,8/269,113/18888,0.07079646,4.971016877,5.088976389,0.000214935,0.000816716,0.000342484,NFKB1/TNF/CYP1A1/SNAI1/SNAI2/AKR1C3/FGFR1/RBP1,8
GO:1903557,BP,GO:1903557,positive regulation of tumor necrosis factor superfamily cytokine production,8/269,113/18888,0.07079646,4.971016877,5.088976389,0.000214935,0.000816716,0.000342484,THBS1/IL6/STAT3/TLR4/TGFB1/TWIST1/MYD88/CLU,8
GO:0016233,BP,GO:0016233,telomere capping,5/269,39/18888,0.128205128,9.002001716,6.012654383,0.000218718,0.000827642,0.000347066,XRCC1/ERCC1/MAPK1/NBN/MAP2K7,5
GO:0032350,BP,GO:0032350,regulation of hormone metabolic process,5/269,39/18888,0.128205128,9.002001716,6.012654383,0.000218718,0.000827642,0.000347066,NFKB1/IGF1R/HIF1A/AKR1C3/GATA3,5
GO:0033028,BP,GO:0033028,myeloid cell apoptotic process,5/269,39/18888,0.128205128,9.002001716,6.012654383,0.000218718,0.000827642,0.000347066,CXCR2/IL6/BAP1/SNAI2/CDKN2A,5
GO:0034390,BP,GO:0034390,smooth muscle cell apoptotic process,5/269,39/18888,0.128205128,9.002001716,6.012654383,0.000218718,0.000827642,0.000347066,PPARG/SOD2/IGF1/CDKN2A/ESR1,5
GO:0097242,BP,GO:0097242,amyloid-beta clearance,5/269,39/18888,0.128205128,9.002001716,6.012654383,0.000218718,0.000827642,0.000347066,IGF1R/TNF/MME/ROCK1/CLU,5
GO:0046887,BP,GO:0046887,positive regulation of hormone secretion,9/269,144/18888,0.0625,4.388475836,4.906072429,0.000224994,0.000850681,0.000356727,PPARG/SOX11/MYB/HIF1A/EGFR/NKX3-1/FGFR1/UCN/CYP19A1,9
GO:0050890,BP,GO:0050890,cognition,14/269,322/18888,0.043478261,3.052852756,4.465869385,0.000226469,0.000854842,0.000358472,PTEN/PTGS2/CASP3/HIF1A/MAPK1/FOS/TNF/KRAS/EGFR/GIT1/BRAF/GRPR/MME/UCN,14
GO:0048864,BP,GO:0048864,stem cell development,7/269,86/18888,0.081395349,5.715224345,5.267796828,0.000226469,0.000854842,0.000358472,EDNRB/FGF2/HIF1A/MAPK1/FN1/TWIST1/SNAI2,7
GO:0000423,BP,GO:0000423,mitophagy,6/269,61/18888,0.098360656,6.906453775,5.553677027,0.000227327,0.000855952,0.000358937,TP53/FBXW7/HIF1A/HDAC6/SQSTM1/BNIP3L,6
GO:0016447,BP,GO:0016447,somatic recombination of immunoglobulin gene segments,6/269,61/18888,0.098360656,6.906453775,5.553677027,0.000227327,0.000855952,0.000358937,ERCC1/TGFB1/IL10/MLH1/MSH2/NBN,6
GO:0045599,BP,GO:0045599,negative regulation of fat cell differentiation,6/269,61/18888,0.098360656,6.906453775,5.553677027,0.000227327,0.000855952,0.000358937,IL6/SOD2/TNF/SMAD3/TGFB1/ID4,6
GO:0042752,BP,GO:0042752,regulation of circadian rhythm,8/269,114/18888,0.070175439,4.927411465,5.055450667,0.000228354,0.000859108,0.000360261,TP53/FBXW7/PPARG/PARP1/MTOR/EZH2/PER1/CLOCK,8
GO:0017015,BP,GO:0017015,regulation of transforming growth factor beta receptor signaling pathway,10/269,177/18888,0.056497175,3.966983807,4.766864027,0.00023211,0.000872521,0.000365885,TP53/THBS1/PPARG/SOX11/TWSG1/SMAD3/TGFB1/HSPA5/PEG10/MIR145,10
GO:0090090,BP,GO:0090090,negative regulation of canonical Wnt signaling pathway,9/269,145/18888,0.062068966,4.358210486,4.879235903,0.000236949,0.000889975,0.000373205,CTNNB1/CTNND1/NOTCH1/MAPK14/LZTS2/CAV1/DAB2IP/SNAI2/SOX2,9
GO:0006401,BP,GO:0006401,RNA catabolic process,16/269,404/18888,0.03960396,2.780816372,4.349018914,0.000237264,0.000890423,0.000373392,YBX1/MALAT1/MAPK14/RNASEL/PRKCD/AKT1/MIR200C/PKP1/PKP3/VIM/MIR145/ZHX2/MLH1/MIR130B/ROCK1/MYD88,16
GO:0001759,BP,GO:0001759,organ induction,4/269,22/18888,0.181818182,12.76647516,6.637388857,0.000240414,0.000897074,0.000376182,CTNNB1/AR/FGF2/FGFR1,4
GO:0010888,BP,GO:0010888,negative regulation of lipid storage,4/269,22/18888,0.181818182,12.76647516,6.637388857,0.000240414,0.000897074,0.000376182,IL6/PPARG/TNF/NFKBIA,4
GO:0048485,BP,GO:0048485,sympathetic nervous system development,4/269,22/18888,0.181818182,12.76647516,6.637388857,0.000240414,0.000897074,0.000376182,CTNNB1/SOX11/GATA3/TP63,4
GO:0060444,BP,GO:0060444,branching involved in mammary gland duct morphogenesis,4/269,22/18888,0.181818182,12.76647516,6.637388857,0.000240414,0.000897074,0.000376182,AR/VDR/MED1/ESR1,4
GO:0071305,BP,GO:0071305,cellular response to vitamin D,4/269,22/18888,0.181818182,12.76647516,6.637388857,0.000240414,0.000897074,0.000376182,VDR/SNAI2/PIM1/MED1,4
GO:0072111,BP,GO:0072111,cell proliferation involved in kidney development,4/269,22/18888,0.181818182,12.76647516,6.637388857,0.000240414,0.000897074,0.000376182,MYC/WT1/GATA3/STAT1,4
GO:1903054,BP,GO:1903054,negative regulation of extracellular matrix organization,4/269,22/18888,0.181818182,12.76647516,6.637388857,0.000240414,0.000897074,0.000376182,PPARG/NOTCH1/TGFB1/MIR145,4
GO:0033559,BP,GO:0033559,unsaturated fatty acid metabolic process,8/269,115/18888,0.069565217,4.884564409,5.022313993,0.000242452,0.000903936,0.000379059,ALOX12/GPX1/PTGS2/IL1B/GSTP1/ALOX15B/CYP1A1/AKR1C3,8
GO:0008543,BP,GO:0008543,fibroblast growth factor receptor signaling pathway,7/269,87/18888,0.08045977,5.649532111,5.224657879,0.000243335,0.000905745,0.000379818,THBS1/CTNNB1/FGF2/FGFR4/GATA3/FGFR1/FGF3,7
GO:0033077,BP,GO:0033077,T cell differentiation in thymus,7/269,87/18888,0.08045977,5.649532111,5.224657879,0.000243335,0.000905745,0.000379818,TP53/CTNNB1/ERBB2/IL1B/BMI1/BRAF/GATA3,7
GO:0008210,BP,GO:0008210,estrogen metabolic process,5/269,40/18888,0.125,8.776951673,5.918153339,0.000247082,0.000916698,0.000384411,HSD3B1/UGT2B17/CYP1A1/SGPL1/CYP19A1,5
GO:0030513,BP,GO:0030513,positive regulation of BMP signaling pathway,5/269,40/18888,0.125,8.776951673,5.918153339,0.000247082,0.000916698,0.000384411,SOX11/NOTCH1/TWSG1/ILK/KDR,5
GO:0045923,BP,GO:0045923,positive regulation of fatty acid metabolic process,5/269,40/18888,0.125,8.776951673,5.918153339,0.000247082,0.000916698,0.000384411,PTGS2/IL1B/PPARG/IRS1/TWIST1,5
GO:0062098,BP,GO:0062098,regulation of programmed necrotic cell death,5/269,40/18888,0.125,8.776951673,5.918153339,0.000247082,0.000916698,0.000384411,TP53/CASP8/PARP1/CAV1/AIFM1,5
GO:0002763,BP,GO:0002763,positive regulation of myeloid leukocyte differentiation,6/269,62/18888,0.096774194,6.79505936,5.493563649,0.000248715,0.000921258,0.000386323,CASP8/FOS/TNF/TGFB1/RB1/MIR145,6
GO:0060261,BP,GO:0060261,positive regulation of transcription initiation by RNA polymerase II,6/269,62/18888,0.096774194,6.79505936,5.493563649,0.000248715,0.000921258,0.000386323,TP53/ERCC1/NFKB1/HNF1B/NFKBIA/MED1,6
GO:0032946,BP,GO:0032946,positive regulation of mononuclear cell proliferation,9/269,146/18888,0.061643836,4.328359729,4.85264112,0.000249427,0.000922395,0.0003868,IL6/IL1B/TLR4/BMI1/IGF1/CD274/CDKN1A/IGF2/MYD88,9
GO:0050852,BP,GO:0050852,T cell receptor signaling pathway,9/269,146/18888,0.061643836,4.328359729,4.85264112,0.000249427,0.000922395,0.0003868,MAP3K7/PIK3CA/MAPK1/RELA/BRAF/HRAS/GATA3/CD8A/PAWR,9
GO:0006368,BP,GO:0006368,transcription elongation by RNA polymerase II,8/269,116/18888,0.068965517,4.842456095,4.989558167,0.000257255,0.0009498,0.000398292,CTNNB1/PARP1/ELL2/EZH2/CDK12/BRD4/VHL/MED1,8
GO:0044344,BP,GO:0044344,cellular response to fibroblast growth factor stimulus,8/269,116/18888,0.068965517,4.842456095,4.989558167,0.000257255,0.0009498,0.000398292,THBS1/CTNNB1/CD44/FGF2/FGFR4/GATA3/FGFR1/FGF3,8
GO:0046889,BP,GO:0046889,positive regulation of lipid biosynthetic process,7/269,88/18888,0.079545455,5.585332883,5.182182882,0.000261197,0.000963572,0.000404067,PTGS2/IL1B/IGF1R/MTOR/PRKCD/TNF/AKT1,7
GO:0035264,BP,GO:0035264,multicellular organism growth,9/269,147/18888,0.06122449,4.298915105,4.826284073,0.000262446,0.000967396,0.000405671,TP53/AR/ERCC1/PIK3CA/STAT3/MTOR/SGPL1/ZFX/IGF2,9
GO:1903844,BP,GO:1903844,regulation of cellular response to transforming growth factor beta stimulus,10/269,180/18888,0.055555556,3.90086741,4.700346832,0.000265739,0.000977952,0.000410097,TP53/THBS1/PPARG/SOX11/TWSG1/SMAD3/TGFB1/HSPA5/PEG10/MIR145,10
GO:1905475,BP,GO:1905475,regulation of protein localization to membrane,10/269,180/18888,0.055555556,3.90086741,4.700346832,0.000265739,0.000977952,0.000410097,ERBB2/AR/PIK3CA/MMP14/SQSTM1/TNF/AKT1/TGFB1/EGFR/HRAS,10
GO:0032615,BP,GO:0032615,interleukin-12 production,6/269,63/18888,0.095238095,6.687201275,5.434765815,0.000271655,0.000998113,0.000418552,THBS1/NFKB1/MAPK14/TLR4/RELA/IL10,6
GO:0032655,BP,GO:0032655,regulation of interleukin-12 production,6/269,63/18888,0.095238095,6.687201275,5.434765815,0.000271655,0.000998113,0.000418552,THBS1/NFKB1/MAPK14/TLR4/RELA/IL10,6
GO:0003203,BP,GO:0003203,endocardial cushion morphogenesis,5/269,41/18888,0.12195122,8.562879681,5.826898572,0.000278155,0.001020351,0.000427877,NOTCH1/TGFBR1/SNAI1/TWIST1/SNAI2,5
